Id,Nro víctimas,Año,Mes,Día,Hora estandar,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Hora,Rol,Sexo,Edad,FECHA_FALLECIMIENTO,BARRIOS,AREA
2016-0001,1,2016,Enero,Viernes,4,AVENIDA,SI,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,4,CONDUCTOR,MASCULINO,19,1/1/2016,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0002,1,2016,Enero,Sábado,1,GRAL PAZ,SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,1,CONDUCTOR,MASCULINO,70,1/2/2016,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2016-0003,1,2016,Enero,Domingo,7,AVENIDA,NO,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,7,CONDUCTOR,MASCULINO,30,1/3/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0004,1,2016,Enero,Domingo,0,AVENIDA,SI,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,0,CONDUCTOR,MASCULINO,18,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0005,1,2016,Enero,Jueves,5,AVENIDA,SI,"SAN JUAN AV. y SAENZ PEÑA, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,5,CONDUCTOR,MASCULINO,29,2/1/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0008,1,2016,Enero,Domingo,18,AVENIDA,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,MOTO,18,CONDUCTOR,MASCULINO,30,1/24/2016,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0009,1,2016,Enero,Domingo,19,CALLE,SI,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,19,PASAJERO_ACOMPAÑANTE,MASCULINO,29,1/26/2016,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,14120042.4238
2016-0010,1,2016,Enero,Viernes,15,GRAL PAZ,SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,15,CONDUCTOR,MASCULINO,18,1/29/2016,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2016-0012,1,2016,Febrero,Lunes,1,AVENIDA,SI,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,22,2/8/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0013,1,2016,Febrero,Miércoles,11,AVENIDA,NO,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,11,PEATON,MASCULINO,16,2/10/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0015,1,2016,Febrero,Domingo,5,AVENIDA,SI,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,5,PEATON,FEMENINO,16,2/14/2016,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2016-0016,1,2016,Febrero,Domingo,22,AVENIDA,SI,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,22,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2/14/2016,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2016-0017,1,2016,Febrero,Lunes,16,AVENIDA,SI,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,16,PEATON,MASCULINO,59,2/16/2016,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0019,1,2016,Febrero,Miércoles,9,CALLE,SI,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,9,PEATON,FEMENINO,65,2/17/2016,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2016-0020,1,2016,Febrero,Miércoles,16,CALLE,NO,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,16,PEATON,MASCULINO,59,3/2/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0021,1,2016,Febrero,Miércoles,23,AVENIDA,SI,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,23,CONDUCTOR,MASCULINO,34,2/17/2016,FLORES - PARQUE CHACABUCO,12422900.8308
2016-0022,1,2016,Febrero,Domingo,6,AVENIDA,SI,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,6,PASAJERO_ACOMPAÑANTE,MASCULINO,41,SD,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0025,1,2016,Febrero,Domingo,4,GRAL PAZ,SI,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,4,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2/28/2016,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0026,1,2016,Febrero,Domingo,7,CALLE,SI,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,AUTO,7,CONDUCTOR,MASCULINO,30,3/4/2016,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,15570926.6376
2016-0027,1,2016,Febrero,Domingo,9,AVENIDA,SI,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,9,PASAJERO_ACOMPAÑANTE,MASCULINO,34,SD,FLORES - PARQUE CHACABUCO,12422900.8308
2016-0028,1,2016,Marzo,Miércoles,10,AVENIDA,SI,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,10,PEATON,MASCULINO,50,3/2/2016,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2016-0029,1,2016,Marzo,Viernes,17,AVENIDA,SI,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,17,PEATON,MASCULINO,38,3/4/2016,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,15570926.6376
2016-0031,1,2016,Marzo,Martes,12,GRAL PAZ,SI,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,12,CONDUCTOR,MASCULINO,21,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2016-0034,1,2016,Marzo,Sábado,12,AVENIDA,SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,12,PEATON,MASCULINO,52,3/12/2016,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2016-0035,1,2016,Marzo,Domingo,6,AVENIDA,SI,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,6,CONDUCTOR,MASCULINO,34,3/13/2016,BALVANERA - SAN CRISTOBAL,6385991.39578
2016-0036,1,2016,Marzo,Lunes,0,CALLE,SI,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,0,PASAJERO_ACOMPAÑANTE,MASCULINO,36,3/14/2016,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
